SEASON_ID,Player_ID,Game_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE
22021,1630596,0022100158,25,7,15,3,5,0.8,0,7,7,2,0,1,2,3,19,-11,0.467,1,0.333,4,0.165
22021,1630596,0022100140,36,11,15,4,2,1.0,3,6,9,5,1,1,1,1,26,26,0.733,2,0.5,2,0.205
22021,1630596,0022100127,38,7,14,3,4,1.0,0,5,5,2,0,1,2,2,18,-7,0.5,0,0.0,4,0.109
22021,1630596,0022100108,40,5,11,1,2,0.5,2,9,11,0,0,1,4,2,11,-10,0.455,0,0.0,1,0.052
22021,1630596,0022100094,40,7,15,2,2,0.5,4,6,10,3,2,1,4,4,15,-2,0.467,0,0.0,1,0.075
22021,1630596,0022100088,21,1,6,1,0,0.0,1,3,4,4,0,0,0,1,2,-6,0.167,0,0.0,0,0.042
22021,1630596,0022100077,36,10,16,2,5,0.4,2,4,6,3,2,0,0,0,23,0,0.625,1,0.5,2,0.179
22021,1630596,0022100064,34,3,10,0,6,1.0,3,7,10,0,1,2,0,4,12,11,0.3,0,0.0,6,0.138
22021,1630596,0022100048,26,4,8,0,2,1.0,3,5,8,2,0,1,3,3,10,16,0.5,0,0.0,2,0.112
22021,1630596,0022100027,35,7,12,2,3,1.0,2,9,11,1,2,4,1,3,17,6,0.583,0,0.0,3,0.245
22021,1630596,0022100017,32,4,7,0,6,0.833,1,4,5,2,2,2,4,2,13,-7,0.571,0,0.0,5,0.084
22021,1630596,0022100007,38,7,13,2,3,0.667,0,9,9,6,1,1,0,2,17,-18,0.538,1,0.5,2,0.111
22012,2544,0021201194,35,7,12,1,12,0.75,0,7,7,6,1,0,3,2,24,8,0.583,1,1.0,9,0.184
22012,2544,0021201180,29,8,10,0,4,1.0,1,5,6,9,0,0,1,1,20,6,0.8,0,0.0,4,0.249
22012,2544,0021201157,30,11,16,1,6,1.0,1,6,7,7,2,1,3,0,28,21,0.688,0,0.0,6,0.414
22012,2544,0021201140,30,12,17,2,2,1.0,0,4,4,5,1,0,1,1,27,22,0.706,1,0.5,2,0.278
22012,2544,0021201080,32,13,20,10,5,0.6,0,4,4,6,2,0,3,0,36,19,0.65,7,0.7,3,0.343
22012,2544,0021201062,40,11,17,5,11,0.727,0,7,7,3,2,4,4,1,32,2,0.647,2,0.4,8,0.224
22012,2544,0021201049,39,9,16,0,10,0.6,1,8,9,11,1,0,3,2,24,25,0.563,0,0.0,6,0.18
22012,2544,0021201041,34,11,14,1,11,0.909,0,8,8,10,3,3,4,0,32,22,0.786,0,0.0,10,0.415
22012,2544,0021201026,40,12,15,1,6,0.667,1,7,8,8,2,1,3,1,29,14,0.8,1,1.0,4,0.293
22012,2544,0021201009,42,8,22,7,8,0.75,7,5,12,10,3,2,4,1,25,1,0.364,3,0.429,6,0.198
22012,2544,0021200998,42,16,29,4,6,0.667,1,6,7,12,2,2,5,3,37,13,0.552,1,0.25,4,0.247
22012,2544,0021200985,34,6,12,6,11,0.727,1,11,12,8,2,0,3,1,22,10,0.5,2,0.333,8,0.236
22012,2544,0021200975,38,12,24,2,5,0.8,1,9,10,7,0,1,2,1,28,5,0.5,0,0.0,4,0.188
22012,2544,0021200956,37,8,19,4,12,0.833,2,5,7,8,2,1,4,1,27,7,0.421,1,0.25,10,0.181
22012,2544,0021200952,30,3,11,2,12,0.75,3,4,7,7,2,0,4,1,15,21,0.273,0,0.0,9,0.152
22012,2544,0021200938,36,5,10,0,5,0.6,1,5,6,7,1,1,4,1,13,23,0.5,0,0.0,3,0.147
22012,2544,0021200921,34,10,17,3,5,0.6,3,7,10,5,1,2,3,2,25,19,0.588,2,0.667,3,0.196
22012,2544,0021200903,38,7,14,6,12,0.917,0,3,3,2,0,1,2,0,26,8,0.5,1,0.167,11,0.187
22012,2544,0021200892,35,9,16,4,1,1.0,1,9,10,4,3,2,7,3,20,10,0.563,1,0.25,1,0.197
22012,2544,0021200880,43,12,23,6,6,0.5,3,8,11,7,3,1,2,1,29,9,0.522,2,0.333,3,0.242
22012,2544,0021200868,42,4,14,4,12,0.667,1,7,8,10,2,1,1,1,18,-1,0.286,2,0.5,8,0.162
22012,2544,0021200845,48,14,23,2,12,0.917,3,5,8,16,2,1,2,1,40,11,0.609,1,0.5,11,0.228
22012,2544,0021200833,39,10,19,1,11,0.727,2,1,3,8,1,0,2,0,28,6,0.526,0,0.0,8,0.156
22012,2544,0021200826,32,7,12,4,2,0.5,1,9,10,11,2,0,2,1,16,14,0.583,1,0.25,1,0.188
22012,2544,0021200809,34,11,15,4,3,1.0,1,11,12,7,2,0,4,2,26,6,0.733,1,0.25,3,0.415
22012,2544,0021200802,40,8,15,4,8,0.875,0,6,6,11,4,0,2,1,24,16,0.533,1,0.25,7,0.237
22012,2544,0021200787,40,14,24,8,9,0.778,3,9,12,7,2,0,4,3,39,15,0.583,4,0.5,7,0.27
22012,2544,0021200770,39,11,15,3,8,0.875,0,6,6,9,3,2,1,0,30,21,0.733,1,0.333,7,0.255
22012,2544,0021200753,36,12,18,2,8,0.875,1,6,7,4,3,0,4,4,32,7,0.667,1,0.5,7,0.225
22012,2544,0021200741,31,9,11,5,11,0.727,1,4,5,6,0,2,5,3,30,21,0.818,4,0.8,8,0.23
22012,2544,0021200726,37,11,18,6,10,0.7,1,5,6,5,0,2,4,2,32,4,0.611,3,0.5,7,0.175
22012,2544,0021200711,38,13,14,0,6,0.833,0,8,8,8,2,0,5,1,31,8,0.929,0,0.0,5,0.345
22012,2544,0021200707,40,10,16,2,11,0.818,0,8,8,7,2,0,3,1,30,29,0.625,1,0.5,9,0.387
22012,2544,0021200685,42,9,17,3,11,0.818,1,5,6,3,1,1,3,4,28,-9,0.529,1,0.333,9,0.163
22012,2544,0021200675,34,10,18,4,4,0.25,2,7,9,7,2,0,4,2,24,22,0.556,3,0.75,1,0.204
22012,2544,0021200652,52,14,31,6,5,0.6,4,12,16,7,3,1,3,3,34,-2,0.452,3,0.5,3,0.243
22012,2544,0021200634,33,9,14,1,6,0.833,1,6,7,7,1,0,2,0,23,22,0.643,0,0.0,5,0.24
22012,2544,0021200619,45,12,23,5,7,0.857,1,9,10,11,0,0,3,1,31,9,0.522,1,0.2,6,0.198
22012,2544,0021200583,42,17,25,2,4,1.0,0,7,7,8,3,1,2,2,39,13,0.68,1,0.5,4,0.338
22012,2544,0021200579,31,11,20,5,3,0.667,1,6,7,10,1,0,1,2,25,33,0.55,1,0.2,2,0.299
22012,2544,0021200561,44,13,19,4,4,1.0,1,3,4,6,3,2,3,5,32,1,0.684,2,0.5,4,0.204
22012,2544,0021200548,29,7,10,1,7,0.857,1,4,5,7,5,2,1,0,20,28,0.7,0,0.0,6,0.241
22012,2544,0021200529,43,6,16,5,5,0.4,0,10,10,9,2,1,4,3,15,-9,0.375,1,0.2,2,0.128
22012,2544,0021200512,43,10,20,1,4,0.25,3,7,10,4,1,2,7,2,22,-5,0.5,1,1.0,1,0.146
22012,2544,0021200500,35,9,17,3,4,1.0,1,1,2,7,0,1,1,0,24,26,0.529,2,0.667,4,0.196
22012,2544,0021200481,41,8,14,5,16,0.813,0,6,6,2,1,0,2,2,30,-18,0.571,1,0.2,13,0.219
22012,2544,0021200469,42,11,20,3,11,0.818,1,11,12,9,3,1,4,0,32,12,0.55,1,0.333,9,0.241
22012,2544,0021200454,48,10,22,6,16,0.938,1,7,8,11,1,0,3,2,36,4,0.455,1,0.167,15,0.215
22012,2544,0021200445,36,11,20,2,5,0.6,1,5,6,7,2,1,6,2,26,-8,0.55,1,0.5,3,0.161
22012,2544,0021200428,44,15,22,4,4,0.75,1,5,6,5,6,1,3,1,35,-2,0.682,2,0.5,3,0.252
22012,2544,0021200411,39,9,19,4,8,0.875,2,10,12,8,4,2,3,1,27,12,0.474,2,0.5,7,0.274
22012,2544,0021200407,42,12,20,3,5,1.0,3,5,8,9,2,1,3,3,29,13,0.6,0,0.0,5,0.307
22012,2544,0021200392,38,11,20,1,10,0.7,1,8,9,7,0,0,4,0,30,14,0.55,1,1.0,7,0.216
22012,2544,0021200378,31,9,13,5,4,0.75,0,9,9,5,1,1,5,0,24,25,0.692,3,0.6,3,0.257
22012,2544,0021200359,42,8,18,5,5,0.8,0,6,6,11,1,4,0,0,22,12,0.444,2,0.4,4,0.221
22012,2544,0021200339,31,8,15,3,11,0.636,0,10,10,5,1,0,2,0,23,36,0.533,0,0.0,7,0.292
22012,2544,0021200314,42,12,23,4,5,1.0,1,2,3,5,1,0,4,0,31,-3,0.522,2,0.5,5,0.179
22012,2544,0021200300,40,10,16,2,7,0.857,1,6,7,6,2,0,3,0,27,12,0.625,1,0.5,6,0.235
22012,2544,0021200286,36,11,16,0,3,0.667,1,4,5,7,2,0,4,2,24,10,0.688,0,0.0,2,0.175
22012,2544,0021200268,39,11,20,5,9,0.667,2,8,10,9,3,0,2,0,31,-17,0.55,3,0.6,6,0.236
22012,2544,0021200252,43,12,24,4,3,0.333,2,11,13,11,3,2,3,1,26,-3,0.5,1,0.25,1,0.209
